#t_start      t_end         t_max         lc_amp        
1358.2622     1358.2733     1358.2664     61.6467       
1365.9678     1365.9761     1365.9692     24.5765       
1365.9942     1366.0525     1366.0164     36.9358       
1366.3761     1366.4122     1366.3775     211.3777      
1368.9247     1368.9358     1368.9316     28.6015       
1369.1219     1369.1372     1369.1233     78.7604       
1373.8886     1373.8969     1373.8927     50.5013       
1375.4191     1375.4413     1375.4205     101.7868      
1377.2344     1377.2427     1377.2372     121.2334      
1380.1635     1380.1719     1380.1649     46.6359       
