#t_start      t_end         t_max         lc_amp        
1547.8028     1547.8125     1547.8084     20.3660       
1548.8723     1548.9000     1548.8750     77.6455       
1549.0153     1549.0278     1549.0153     56.0625       
1550.2167     1550.2403     1550.2195     105.9436      
1558.0237     1558.0334     1558.0251     150.8002      
1558.0515     1558.0598     1558.0570     27.3073       
1560.1459     1560.1556     1560.1459     57.6746       
1560.1751     1560.2043     1560.1765     693.4421      
1560.2084     1560.2168     1560.2084     10.9731       
1563.8543     1563.8640     1563.8571     44.0616       
1567.5307     1567.5390     1567.5335     18.3254       
