#t_start      t_end         t_max         lc_amp        
1388.2315     1388.2398     1388.2329     55.8707       
1390.1912     1390.2064     1390.1967     30.0545       
1391.8342     1391.8661     1391.8453     29.5513       
1391.8884     1391.9148     1391.8898     376.0023      
1401.1090     1401.1187     1401.1090     108.4956      
1401.8840     1401.8993     1401.8854     77.4222       
